order_id,customer_id,customer_name,prod_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,236,Ermengarde Keller,3,Keyboard,Accessories,Crypto,2,100,1/1/2021 0:01,United States,New York,BuyOurStuff.com,1,Y,
2,669,Ursulina Wolf,7,Desk,Home & Office,Pay-Pal,3,150,1/1/2021 0:02,Colombia,Bogotá,BuyOurStuff.com,2,Y,
3,23,Alleen Farrell,4,Desktop,Computer,Credit,1,750,1/1/2021 0:06,Colombia,Bogotá,BuyOurStuff.com,3,Y,
4,688,Willetta Salazar,9,Cell Phone,Mobile Device,Crypto,1,950,1/1/2021 0:07,Argentina,Buenos Aires,BuyOurStuff.com,4,Y,
5,674,Veda Cook,8,Tablet,Mobile Device,Debit,2,450,1/1/2021 0:07,Brazil,Rio de Janeiro,BuyOurStuff.com,5,Y,
6,607,Sean Greer,7,Desk,Home & Office,Credit,1,150,1/1/2021 0:10,Brazil,Rio de Janeiro,BuyOurStuff.com,6,N,Incorrect Payment Information
7,513,Moyna Rice,5,Laptop,Computer,Pay-Pal,1,1000,1/1/2021 0:12,Thailand,Bangkok,BuyOurStuff.com,7,Y,
8,56,Aryn Carlson,9,Cell Phone,Mobile Device,Crypto,1,950,1/1/2021 0:12,Thailand,Bangkok,BuyOurStuff.com,8,Y,
9,653,Theodora French,7,Desk,Home & Office,Pay-Pal,2,150,1/1/2021 0:15,France,Paris,BuyOurStuff.com,9,Y,
10,284,Glenda Brewer,3,Keyboard,Accessories,Crypto,2,100,1/1/2021 0:18,Argentina,Buenos Aires,BuyOurStuff.com,10,Y,
11,283,Giustina Chambers,1,Headphones,Accessories,Credit,1,150,1/1/2021 0:19,Colombia,Bogotá,BuyOurStuff.com,11,N,Insufficient funds
12,302,Heida Weaver,8,Tablet,Mobile Device,Debit,1,450,1/1/2021 0:24,Brazil,Rio de Janeiro,BuyOurStuff.com,12,Y,
13,265,Frieda Maxwell,7,Desk,Home & Office,Pay-Pal,2,150,1/2/2021 0:26,India,Delhi,BuyOurStuff.com,13,Y,
14,341,Jessamyn Cisneros,7,Desk,Home & Office,Pay-Pal,2,150,1/2/2021 0:27,France,Paris,BuyOurStuff.com,14,Y,
15,646,Tarra Kane,1,Headphones,Accessories,Debit,3,150,1/2/2021 0:27,Brazil,Rio de Janeiro,BuyOurStuff.com,15,Y,
16,27,Althea Estrada,1,Headphones,Accessories,Credit,2,150,1/2/2021 0:27,Peru,Lima,BuyOurStuff.com,16,Y,
17,109,Carilyn Valdez,5,Laptop,Computer,Pay-Pal,3,1000,1/2/2021 0:28,China,Beijing,BuyOurStuff.com,17,Y,
18,418,Lesly Hunter,7,Desk,Home & Office,Debit,1,150,1/2/2021 0:29,United Kingdom,London,BuyOurStuff.com,18,Y,
19,670,Valeda Lucas,3,Keyboard,Accessories,Debit,2,100,1/2/2021 0:30,Colombia,Bogotá,BuyOurStuff.com,19,Y,
20,494,Merci Stanley,5,Laptop,Computer,Debit,1,1000,1/2/2021 0:30,Japan,Tokyo,BuyOurStuff.com,20,Y,
21,695,Yolane Love,8,Tablet,Mobile Device,Credit,3,450,1/2/2021 0:30,United Kingdom,London,BuyOurStuff.com,21,Y,
22,406,Latisha Bailey,3,Keyboard,Accessories,Debit,3,100,1/2/2021 0:32,United Kingdom,London,BuyOurStuff.com,22,Y,
23,586,Ronna Howard,5,Laptop,Computer,Debit,2,1000,1/2/2021 0:33,Germany,Berlin,BuyOurStuff.com,23,Y,
24,679,Vinita Gates,3,Keyboard,Accessories,Credit,1,100,1/2/2021 0:35,Mexico,Mexico City,BuyOurStuff.com,24,Y,
25,313,Ileana Ruiz,7,Desk,Home & Office,Pay-Pal,1,150,1/2/2021 0:35,Brazil,Rio de Janeiro,BuyOurStuff.com,25,Y,
26,472,Marita Cline,6,Chair,Home & Office,Crypto,3,80,1/2/2021 0:37,Germany,Berlin,BuyOurStuff.com,26,Y,
27,245,Evita Cervantes,6,Chair,Home & Office,Pay-Pal,2,80,1/2/2021 0:39,Mexico,Mexico City,BuyOurStuff.com,27,Y,
28,482,Mathilda Murray,3,Keyboard,Accessories,Debit,3,100,1/2/2021 0:39,South Korea,Seoul,BuyOurStuff.com,28,Y,
